[UNK]
i
the
you
and
to
a
me
my
it
in
im
on
that
your
of
like
dont
all
be
we
up
know
is
for
got
so
with
love
get
but
just
no
this
its
do
what
baby
when
now
can
yeah
oh
if
they
she
out
aint
go
down
see
one
was
come
make
her
cant
back
let
say
girl
time
cause
wanna
at
want
nigga
never
from
youre
right
way
he
how
take
have
man
tell
thats
not
ya
need
here
gonna
ill
are
will
life
as
feel
about
shit
been
them
there
some
more
well
give
chorus
where
keep
then
good
why
money
night
day
said
too
by
could
bitch
gotta
or
em
niggas
off
put
who
fuck
think
u
look
had
little
still
hey
around
were
away
over
only
world
heart
through
us
ive
these
wont
his
better
every
call
long
stop
mind
boy
would
home
him
ever
2
lets
really
new
bad
even
hard
theres
gone
yo
show
real
again
than
thing
la
turn
am
gon
big
verse
hold
leave
eyes
an
our
did
ass
ooh
hear
head
find
much
uh
hit
always
shes
try
stay
bout
play
things
yall
nothing
run
body
before
tonight
everything
live
yes
please
made
going
people
god
done
high
name
something
rock
work
talk
face
into
game
mine
should
young
same
believe
wit
another
two
ride
whats
watch
youll
lil
told
alone
lord
da
wrong
while
hot
left
crazy
hands
die
nobody
change
walk
last
cuz
everybody
old
bitches
break
other
hand
without
light
dance
black
ready
came
side
might
beat
damn
bring
girls
mean
ima
move
first
best
id
care
niggaz
fall
place
round
roll
fly
wait
hes
goin
cry
feeling
till
woman
top
looking
whole
own
true
youve
thought
used
didnt
many
mama
drop
remember
house
because
free
myself
song
1
start
must
somebody
end
inside
seen
enough
party
na
gettin
sun
hell
ah
help
stand
babe
maybe
fire
club
lost
sweet
shake
times
heard
coming
til
together
door
kiss
touch
dream
music
cold
getting
soul
though
ask
wish
fuckin
sky
lookin
their
tryna
throw
days
after
imma
alright
next
friends
trying
city
matter
hook
took
has
knew
rain
comes
town
blue
yea
hope
forever
low
hoes
friend
tryin
g
pull
talkin
sure
hood
pain
someone
sing
talking
went
since
hate
found
pop
far
floor
huh
ha
morning
lot
understand
lose
until
any
those
blow
listen
lie
line
pussy
slow
i’m
goes
pretty
close
waiting
nothin
hurt
check
guess
miss
may
once
straight
tha
words
knows
dead
open
fool
doing
else
lonely
easy
lights
ice
road
happy
50
fight
dreams
honey
street
daddy
living
dogg
catch
white
full
smile
streets
doin
air
today
deep
sleep
shine
comin
fine
sometimes
kill
gave
king
car
red
snoop
smoke
mad
makes
lay
forget
under
anything
set
beautiful
4
3
wake
years
three
yourself
sound
ay
cool
tried
feels
pay
couldnt
shot
phone
running
tears
dick
wayne
loving
block
saw
kind
shawty
gun
feelin
blues
room
hair
feet
whoa
okay
soon
bed
late
whatever
behind
wonder
chance
rap
star
thinking
cash
wanted
dat
n
boys
livin
ground
step
fast
strong
dog
wild
bet
ho
dark
drink
theyre
part
runnin
cut
broke
each
eye
gold
reason
dirty
flow
somethin
truth
rich
whos
sit
wouldnt
blood
christmas
ring
eat
ball
word
meet
already
wasnt
heaven
water
front
repeat
ladies
fucking
buy
bang
worry
started
shoot
act
making
saying
peace
seems
goodbye
use
does
tired
caught
clothes
o
fun
both
west
spend
trust
different
million
boom
being
control
along
mother
born
sex
loves
rest
lady
send
nice
bit
mouth
sayin
lovin
ohh
moon
cent
hundred
very
nah
number
stars
sexy
thank
swear
past
pick
save
drive
arms
wall
child
hoe
met
b
jump
alive
war
ones
paper
son
loved
x2
pass
gets
follow
such
pray
half
tomorrow
sorry
treat
most
jesus
wants
mr
tight
fresh
learn
burn
trouble
c
minute
kick
bust
thinkin
motherfucker
brother
kids
thug
says
homie
women
four
called
don’t
lyrics
hide
picture
thang
outta
shoes
playing
taking
school
power
momma
sick
falling
youd
whip
gangsta
green
cmon
boss
felt
2x
family
business
death
bridge
wind
lips
style
bright
standing
diamonds
turned
win
dope
takes
everywhere
promise
push
ok
d
brown
makin
land
soulja
weve
broken
rollin
everyday
above
sea
speak
scared
calling
jayz
men
year
booty
darling
shorty
lies
weed
yours
walking
spot
perfect
rather
five
ghetto
seem
gimme
train
telling
great
hello
sad
moment
father
kid
chain
cake
fucked
freak
haters
between
second
double
crack
type
poppin
changed
playin
paid
heat
ma
lover
wet
loud
stick
outside
mo
knock
guy
eh
clear
river
fell
probably
fear
rockin
brand
knees
clap
bag
holla
blind
yet
dear
which
stuck
bought
against
upon
neck
crying
lead
scream
story
kinda
walkin
worth
hang
brain
none
dollar
dem
hearts
couple
takin
nights
aye
singing
deal
hustle
finally
reach
quick
shots
fat
shout
read
summer
grind
gang
across
york
special
middle
anymore
grow
afraid
cube
breathe
blame
ten
ways
somewhere
six
dancing
children
motherfuckin
corner
intro
taste
keeps
bounce
known
oooh
woah
trip
uhh
few
t
doesnt
super
glad
giving
ta
grab
moving
higher
sign
needs
south
funny
pimp
chick
track
woo
wife
count
case
angel
supposed
watching
stupid
magic
wear
rolling
sittin
window
looked
problem
hop
dig
cars
poor
movin
dj
voice
earth
piece
tree
murder
mirror
nowhere
ridin
jack
future
everyone
breath
share
doubt
cross
walked
tear
holding
e
near
clean
thousand
meant
5
bump
apart
welcome
dough
strange
diamond
working
shut
loose
joy
fade
spit
fact
waitin
carry
homies
groove
weezy
sell
locked
looks
rise
means
devil
queen
chris
bottle
write
shell
theyll
fake
ahead
ayy
skin
handle
plan
guns
later
akon
respect
it’s
closer
switch
police
point
mess
single
games
tellin
cop
stuff
someday
fame
dirt
quit
job
r
leaving
anybody
ballin
gucci
happen
wine
de
plus
riding
key
anyway
team
trap
laugh
2pac
trippin
bottom
boo
cops
ran
space
sitting
brought
grown
feelings
drunk
heavy
crib
uhhuh
news
everytime
bread
jail
nicki
hour
bye
bottles
cos
lick
hurts
bigger
played
answer
sweat
luck
wide
wave
sight
lean
fo
flip
nine
crew
smokin
bird
shame
twice
woke
almost
pack
crowd
kanye
empty
glass
waste
lives
f
mercy
belong
safe
warm
longer
bullshit
mornin
clouds
bomb
burning
soft
dress
smell
bank
m
fill
givin
scene
heres
chest
zone
raise
amazing
rhythm
yellow
asked
price
missing
mi
workin
harder
cried
shining
pound
motherfuckers
country
short
midnight
shall
week
cannot
bar
early
callin
pocket
guitar
wrist
can’t
snow
pride
lock
yesterday
having
chill
less
figure
ago
tip
losing
nasty
radio
miles
turning
stone
dumb
whenever
brothers
state
record
places
click
storm
michael
east
dreaming
died
sunshine
girlfriend
ur
actin
p
don
seven
deserve
sister
keys
hip
evil
problems
seat
kept
haha
benz
rules
realize
movie
john
favorite
everybodys
9
cup
trees
thoughts
ocean
mm
dollars
swag
slide
lucky
watchin
stacks
rocks
judge
survive
spent
small
law
sold
proud
needed
finger
dawn
gs
dude
steal
simple
lying
instead
explain
unless
jeans
either
bow
learned
faith
choose
box
hole
cryin
forgive
acting
jam
breaking
nelly
attention
tv
tupac
pretend
hurry
insane
legs
hours
imagine
question
funky
santa
lift
self
beach
fit
doctor
beef
